Section des sciences de l'éducation,5842
Section de psychologie,5534
Département F.-A. Forel des sciences de l'environnement et de l'eau,2999
Institut des sciences de l'environnement,2760
Département des sciences de la Terre,2661
Département de chimie organique,2027
Département de physique nucléaire et corpusculaire,2001
Centre universitaire d'informatique,1855
Département de chimie physique,1792
Département de science politique et relations internationales,1743
Département de physique de la matière quantique,1732
"Département de chimie minérale, analytique et appliquée",1480
Département de sociologie,1463
Département de droit international public et organisation internationale,1458
Département de géographie et environnement,1451
Département de droit public,1428
Département d'informatique,1244
Section de mathématiques,1195
Département de traduction,1162
Groupe de physique appliquée,1087
Département de physique théorique,1010
Centre interfacultaire de gérontologie et d'études des vulnérabilités,986
Global Studies Institute,934
Département de droit civil,912
Institut de recherches sociologiques,903
Département de géologie et de paléontologie,900
Faculté d'économie et de management,869
Faculté de droit,809
Département de droit commercial,805
Institut universitaire de formation des enseignants,803
Département de traitement informatique multilingue,711
Institut de la gouvernance de l'environnement et du développement territorial,705
Département de minéralogie,703
Technologies de formation et apprentissage,693
Institut de démographie et de socioéconomie,604
Département de droit pénal,593
Département des sciences de l'antiquité,550
Faculté autonome de théologie protestante,535
Département de langue et de littérature anglaises,525
Information Science Institute,507
Département de linguistique,489
"MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme",486
Département d'histoire du droit et des doctrines juridiques et politiques,462
Département de droit international privé,440
Section des sciences de la Terre et de l'Environnement,428
Centre de droit bancaire et financier,418
Research Center for Statistics,415
Institut des études genre,367
Département de langue et de littérature françaises modernes,363
Département d'histoire de l'art et de musicologie,358
Institut d'études de la citoyenneté,345
Faculté des sciences,345
Institute of Economics and Econometrics,331
Département de philosophie,322
Département de droit du travail et de la sécurité sociale,304
Centre interfacultaire en droits de l'enfant,300
Institut Romand de systématique et d'éthique,289
Institute of Management,280
Département d'interprétation,269
"Département d'histoire, économie et société",261
Département d'astronomie,259
Faculté des sciences de la société,256
Département des langues et des littératures françaises et latines médiévales,229
Département d'histoire générale,220
"Centre d'étude, de technique et d'évaluation législatives",195
Institut d'histoire de la réformation,191
Geneva Finance Research Institute,189
Section de physique,185
Département d'études est-asiatiques,183
Département de langue et de littérature allemandes,168
Centre du droit de l'art,152
Institut d'histoire économique Paul Bairoch,141
Centre d'études juridiques européennes,139
Centre universitaire d'étude des problèmes de l'énergie,121
Section de chimie et biochimie,90
Département de langues et littératures romanes,87
"Département de langues et des littératures méditerranéennes, slaves, et orientales",86
Ecole de langue et de civilisation françaises,79
Académie de droit international humanitaire,78
Faculté de psychologie et des sciences de l'éducation,77
Ecole d'avocature,69
Institut Confucius,61
Département des langues et des littératures romanes,58
Laboratoire d'économie appliquée,48
Division de l'information scientifique,47
Institut d'Architecture,46
Maison de l'histoire,46
Centre en philanthropie,44
"Medialab, Institut des sciences de la communication et des cultures numériques",37
Rectorat et adjoints,37
Centre interfacultaire de bioéthique et sciences humaines en médecine,33
Faculté de traduction et d'interprétation,30
Division du système et des technologies de l'information et de la communication,26
Faculté des lettres,22
Division de la formation et des étudiants,10
Centre de droit du numérique,10
Centre d’études humanitaires Genève,9
Centre universitaire d'écologie humaine et sciences de l'environnement,8
Humanités numériques,7
Institut pour la formation permanente en sciences sociales,4
Service de communication,3
Rectorat et administration,3
Service des Relations Internationales & Partenariats,2
InZone,2
Centre pour la formation continue et à distance,2
Centre Maurice Chalumeau en sciences des sexualités,1
